Country Name,Country Code,Year,GDP_per_capita,Unemployment_rate
Africa Eastern and Southern,AFE,1991.0,862.848274320851,8.17962867204006
Africa Western and Central,AFW,1991.0,603.878907776782,4.15868027881975
Angola,AGO,1991.0,881.919488130062,16.855
Albania,ALB,1991.0,336.586994504629,10.304
Arab World,ARB,1991.0,2048.80975490464,11.9145083824283
United Arab Emirates,ARE,1991.0,25690.9686321448,1.625
Argentina,ARG,1991.0,5709.24784079504,5.44
Armenia,ARM,1991.0,572.740260900977,1.783
Australia,AUS,1991.0,18859.9074576986,9.586
Austria,AUT,1991.0,22323.1312492943,3.42
Azerbaijan,AZE,1991.0,734.944232805688,0.9
Burundi,BDI,1991.0,204.668258398817,3.158
Belgium,BEL,1991.0,21041.6606519648,6.984
Benin,BEN,1991.0,364.689296016645,1.64
Burkina Faso,BFA,1991.0,333.70605512636,2.477
Bangladesh,BGD,1991.0,272.064948495878,2.2
Bulgaria,BGR,1991.0,1267.73437541485,11.1
Bahrain,BHR,1991.0,10434.1323962786,1.051
"Bahamas, The",BHS,1991.0,11082.3528573617,12.17
Bosnia and Herzegovina,BIH,1991.0,1373.37104472973,17.55
Belarus,BLR,1991.0,1805.45592531527,0.6
Belize,BLZ,1991.0,3192.36526946108,9.69
Bolivia,BOL,1991.0,733.935487602519,2.934
Brazil,BRA,1991.0,2257.6092968885,6.894
Barbados,BRB,1991.0,7790.26229439159,22.323
Brunei Darussalam,BRN,1991.0,23932.1897530199,4.7
Bhutan,BTN,1991.0,400.634705187075,1.385
Botswana,BWA,1991.0,2938.59442659608,13.82
Central African Republic,CAF,1991.0,464.828283626364,5.334
Canada,CAN,1991.0,21846.7930471354,10.316
Central Europe and the Baltics,CEB,1991.0,2263.81493587899,9.57714826844741
Switzerland,CHE,1991.0,39544.4946826768,1.818
Chile,CHL,1991.0,2770.07964567151,5.23
China,CHN,1991.0,333.142145400184,2.37
Cote d'Ivoire,CIV,1991.0,827.241889166985,6.603
Cameroon,CMR,1991.0,1014.82897292999,8.936
"Congo, Dem. Rep.",COD,1991.0,239.624772790716,3.267
"Congo, Rep.",COG,1991.0,1112.53521242945,19.917
Colombia,COL,1991.0,1499.71104164399,10.12
Comoros,COM,1991.0,930.969561376057,4.805
Cabo Verde,CPV,1991.0,831.61388764249,13.535
Costa Rica,CRI,1991.0,2253.38191508071,5.37
